City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,tucumcari,35.1717,-103.725,296.06,28,20,10.29,US,1715549622
321,makushino,55.2103,67.2442,285.56,80,100,1.54,RU,1715549732
322,ladario,-19.0047,-57.6017,306.31,46,0,3.09,BR,1715549732
323,krasnovishersk,60.4078,57.082,267.64,100,39,0.93,RU,1715549732
324,roma,43.2128,-75.4557,287.65,59,100,1.54,US,1715549732
325,arraial do cabo,-22.9661,-42.0278,300.13,78,0,3.6,BR,1715549733
326,opuwo,-18.0607,13.84,293.93,26,0,3.17,NA,1715549733
327,aykhal,66.0,111.5,267.94,97,99,2.35,RU,1715549733
328,colonia,50.9333,6.95,294.72,55,0,2.57,DE,1715549733
329,ulsteinvik,62.3432,5.8487,288.65,82,95,1.79,NO,1715549733
330,tolanaro,-25.0319,46.9987,296.19,88,0,8.23,MG,1715549734
331,darwin,-12.4611,130.8418,297.14,71,0,3.09,AU,1715549542
332,khawr fakkan,25.3313,56.342,301.18,55,0,0.48,AE,1715549734
333,galesong,-5.3166,119.3661,297.16,82,10,1.18,ID,1715549734
334,lasalgaon,20.15,74.2333,300.1,51,0,1.42,IN,1715549735
335,tsetserleg,47.475,101.4542,280.12,77,47,3.05,MN,1715549735
336,atasu,48.6814,71.6433,285.89,43,1,3.45,KZ,1715549735
337,maamba,-17.3667,27.15,294.7,49,36,1.0,ZM,1715549735
338,kununurra,-15.7667,128.7333,296.14,68,0,3.6,AU,1715549736
339,at taj,24.2049,23.2857,294.98,29,0,4.85,LY,1715549736
340,beau vallon,-20.4189,57.6953,297.28,83,75,3.6,MU,1715549736
341,markovo,57.3206,107.0881,276.43,72,85,1.76,RU,1715549736
342,lapy,52.9911,22.8842,281.62,71,35,1.6,PL,1715549736
343,terrace,54.5163,-128.6035,288.1,47,75,8.75,CA,1715549737
344,severo-yeniseyskiy,60.3725,93.0408,274.58,93,46,1.34,RU,1715549737
345,inongo,-1.95,18.2667,296.42,93,97,0.58,CD,1715549737
346,orchard homes,46.8633,-114.0484,299.16,32,0,1.79,US,1715549737
347,necochea,-38.5473,-58.7368,280.98,66,100,3.78,AR,1715549738
348,iskateley,67.6803,53.1512,268.16,95,100,4.02,RU,1715549738
349,puerto armuelles,8.2833,-82.8667,304.14,77,79,1.79,PA,1715549738
350,boundiali,9.5217,-6.4869,302.51,51,60,1.57,CI,1715549738
351,standerton,-26.9337,29.2415,286.27,82,35,4.18,ZA,1715549738
352,yinchuan,38.4681,106.2731,290.93,15,0,1.9,CN,1715549568
353,rondonopolis,-16.4708,-54.6356,299.99,45,2,1.63,BR,1715549739
354,berrahal,36.8353,7.4533,291.0,67,44,1.71,DZ,1715549739
355,tavistock,50.5494,-4.1442,287.4,88,83,0.45,GB,1715549739
356,stornoway,58.2093,-6.3865,286.14,94,40,0.51,GB,1715549740
357,kirensk,57.7853,108.1119,277.57,58,43,1.34,RU,1715549740
358,alghero,40.5589,8.3181,288.2,72,0,0.51,IT,1715549588
359,vorkuta,67.5,64.0,264.88,95,79,3.58,RU,1715549740
360,beloyarskiy,63.7119,66.6722,274.26,93,100,3.13,RU,1715549740
361,puerto real,36.5282,-6.1901,292.38,94,0,3.6,ES,1715549741
